voxel_value,amira_id,name,short_name,r,g,b
70,71,DL4_right_Or49a_Or85f,DL4,1.0,0.600000023841858,0.200000002980232
71,72,DL5_right_Or7a,DL5,1.0,0.600000023841858,0.200000002980232
72,73,DM1_right_Or42b,DM1,1.0,0.600000023841858,0.200000002980232
73,74,DM2_right_Or22a,DM2,1.0,0.600000023841858,0.200000002980232
74,75,DM3_right_Or47a,DM3,1.0,0.600000023841858,0.200000002980232
75,76,DM4_right_Or59b,DM4,1.0,0.600000023841858,0.200000002980232
76,77,DM5_right_Or43b,DM5,1.0,0.600000023841858,0.200000002980232
77,78,DM6_right_Or67a,DM6,1.0,0.600000023841858,0.200000002980232
78,79,DP1m_right_Ir64a,DP1m,0.49803900718689,0.49803900718689,0.49803900718689
79,80,DP1l_right_Ir75a,DP1l,0.247059002518654,1.0,0.0
80,81,V_right_Gr21a,V,1.0,0.600000023841858,0.200000002980232
81,82,VA1d_right_Or88a,VA1d,0.156863003969193,0.607842981815338,1.0
82,83,VA1v_right_Or47b,VA1v,0.156863003969193,0.607842981815338,1.0
83,84,VA2_right_Or92a,VA2,1.0,0.600000023841858,0.200000002980232
84,85,VA3_right_Or67b,VA3,1.0,0.600000023841858,0.200000002980232
85,86,VA4_right_Or85d,VA4,0.968626976013184,0.0666666999459267,0.0
86,87,VA5_right_Or49b,VA5,1.0,0.600000023841858,0.200000002980232
87,88,VA6_right_Or67d,VA6,1.0,0.600000023841858,0.200000002980232
88,89,VA7l_right_Or46aA,VA7l,0.968626976013184,0.0666666999459267,0.0
89,90,VC1_right_Or33c,VC1,0.968626976013184,0.0666666999459267,0.0
90,91,VC2_right_Or71a,VC2,0.968626976013184,0.0666666999459267,0.0
91,92,VC3_right_Or35a,VC3,0.247059002518654,1.0,0.0
92,93,VC4_right_Or67c,VC4,1.0,0.600000023841858,0.200000002980232
93,94,VC5_right_Ir41a_,VC5,0.247059002518654,1.0,0.0
94,95,VL1_right_Ir75d,VL1,0.247059002518654,1.0,0.0
95,96,VL2p_right_Ir31a,VL2p,0.247059002518654,1.0,0.0
96,97,VL2a_right_Ir84a,VL2a,0.247059002518654,1.0,0.0
97,98,VM1_right_Ir92a,VM1,0.247059002518654,1.0,0.0
98,99,VM2_right_Or43b,VM2,1.0,0.600000023841858,0.200000002980232
99,100,VM3_right_Or9a,VM3,1.0,0.600000023841858,0.200000002980232
100,101,VM4_right_Ir76a,VM4,0.247059002518654,1.0,0.0
101,102,VM5d_right_Or85b,VM5d,1.0,0.600000023841858,0.200000002980232
102,103,VM5v_right_Or98a,VM5v,1.0,0.600000023841858,0.200000002980232
103,104,VM6_right,VM6,0.800000011920929,0.603922009468079,0.0
104,105,VM7d_right_Or42a,VM7d,0.968626976013184,0.0666666999459267,0.0
105,106,VM7v_right_Or59c,VM7v,0.968626976013184,0.0666666999459267,0.0
106,107,VP2_left_VM6andVC6,VP2,0.49803900718689,0.49803900718689,0.49803900718689
107,108,VP2_right_VM6andVC6,VP2,0.49803900718689,0.49803900718689,0.49803900718689
108,109,VP3_left,VP3,0.49803900718689,0.49803900718689,0.49803900718689
109,110,VP3_right,VP3,0.49803900718689,0.49803900718689,0.49803900718689
110,111,VA7m_left,VA7m,0.49803900718689,0.49803900718689,0.49803900718689
111,112,VA7m_right,VA7m,0.49803900718689,0.49803900718689,0.49803900718689
