"glomerulus","x","y"
"VA7m",156.919467179724,51.8828227235023
"VA1v",105,55
"DL2d",109.54606246375,15
"DA4l",31,35
"VA6",24.9521384301075,41
"DA2",20.7,31.2
"VP2",260.913179655701,37.2611117511977
"VP1",274,32
"VP4",275,19
"VP3",281,40
"VC5",262.117214916001,28.3543080463111
"V",281.4,48.8
"VM4",270,55.4
"VM3",254,42
"VM1",261,49
"DM4",204.835927127539,15.3746739970792
"DC4",213.707571235993,20.3772766155442
"VM7d",206.353257128736,27.544365309559
"VM7v",212.237853623267,31.3172039954657
"VC3",221,38
"VC4",212,41
"VM5d",207,36
"VM2",201,40
"VA2",208.685388100736,48.7595463759668
"VA4",225.380368821354,47.5952630332013
"VA3",221.418283843318,53.8831178018433
"DM1",141.33908190508,12.7467148353726
"DM2",138.023970864742,21.5330808758725
"DP1m",157.966168711632,10.4844295982405
"DP1l",176.003091558951,18.2256500514997
"DL2v",174,27
"VL2p",182,33
"VL1",175.380450299592,42.0918146648128
"VA5",167.5,56
"VC2",160.312627778346,44.0938414605557
"VC1",157.589646925863,37.5930531075269
"DC1",154.8,23
"DC2",149,30.5
"DM5",139,35
"VM5v",84.7480150450858,42.0909503857763
"DL1",102,21
"DL5",89.8833964916574,7.99958106599926
"D",91,17.5
"DM3",78.5519301945834,12.6778800612386
"DM6",78.3435859468935,27.4264301104657
"VL2a",111.474907662544,37.8962151764248
"DC3",100.017384405621,35.9760121510699
"VA7l",93.5523043785914,51.6613330458459
"DA4m",25.5,25
"VA1d",37.2943549710224,46.2661234789502
"DA1",46.8,38.5
"DL3",53,24.8
"DL4",38,21
"DA3",36.0378002119816,28
