root_id,supervoxel_id,glomerulus,cell_type,hemibrain_type,side,flow,super_class,cell_class,cell_sub_class,fbbt_id,source_type
720575940611357938,81209310352316682,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940613797398,81279610377000707,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940614037910,81490647957504786,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940615711093,81139216486120799,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940616670242,81209653949732642,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940616934361,81279335499144037,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940617333275,78042167175582011,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940617626781,81209722669225315,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940618236283,81420210426650731,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940618533403,81139216486113018,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940618937649,81068091827721952,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940619340446,78182698505580831,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940619528789,81279610444348426,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940620096097,81138460572006279,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940620538806,77971729779383101,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940620929519,80998616436619328,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940621098879,81209172913355866,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940621263457,81209791388680148,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940621335841,81209379071778676,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940621540446,81068229266693278,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940622383338,81068779022359411,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940622682409,81279885254951458,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940623037283,77971867151225072,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940623317261,81068985180802706,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940623797321,81279472938045110,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940623870389,79871479714003945,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940624211640,81280160132906419,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940624432103,81138804169122605,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940625399600,81208966754913892,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940625825538,81279404218876467,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940626031132,81139285205563085,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940626047536,81279953974590021,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940626122535,81209379071758834,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940626692485,81279335499055347,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940626869013,81139147766616819,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940626928388,81279747815950661,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940627332885,81138735449652443,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940627465288,81139010327576871,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940627636476,78534404787795943,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940628281860,81279747815931571,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940628909623,81209379071758123,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940629182402,81279335499065109,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940629511383,81350391505277153,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940629963116,80927285619926849,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940630339525,81209516510782858,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940630838570,81209585230176915,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940630996072,81209722669151419,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940631406673,81209516510720314,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940631468335,81209035541625247,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940631629866,81279816535439608,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940631907143,81349772962752542,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940631997068,81068091827697830,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940632175407,80153023409641360,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940633512800,81208898035447547,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940634995960,81209447791285138,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940635706219,81350047908011669,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940637255743,81420279213315418,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940638099940,81209447791223243,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940644542574,81279816535479390,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940654849697,81068091827674887,DA1,ORN_DA1,ORN_DA1,right,afferent,sensory,olfactory,pheromone,FBbt_00067031,sensory
720575940611849187,78816429587620663,DA2,DA2_lPN,DA2_lPN,left,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940622364184,78675692099364165,DA2,DA2_lPN,DA2_lPN,left,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940622734835,78746060843497614,DA2,DA2_lPN,DA2_lPN,left,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940626937617,78816429587622223,DA2,DA2_lPN,DA2_lPN,left,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940638719104,78746060843486449,DA2,DA2_lPN,DA2_lPN,left,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940608928324,78324191841209196,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940611437973,78254029322399726,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940612019442,78464860609974890,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940618946901,78394491865934063,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940619539182,78183179474718156,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940620055905,78183798017494246,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940621106102,78394491865881034,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940626357586,78183660578439074,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940627318696,78464791890462847,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940628086607,78886317228086396,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940629830508,78324260627734094,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940632041043,78464929329430905,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940632190765,78324123121716131,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940634955188,78394216987885160,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940641403021,78394423146378396,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940654069409,79590073523489434,DA2,ORN_DA2,ORN_DA2,left,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940626411097,78745991989248110,DA2,ORN_DA2,ORN_DA2,na,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940610052266,80646154374867885,DA2,DA2_lPN,DA2_lPN,right,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940622311704,80646154374760379,DA2,DA2_lPN,DA2_lPN,right,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940622762995,80575785630553529,DA2,DA2_lPN,DA2_lPN,right,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940624106442,80575785630612215,DA2,DA2_lPN,DA2_lPN,right,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940628259407,81349910469210197,DA2,DA2_lPN,DA2_lPN,right,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940639337461,80646154374848875,DA2,DA2_lPN,DA2_lPN,right,intrinsic,central,ALPN,uniglomerular,FBbt_00110882,projection
720575940603832288,80505210593745902,DA2,ORN_DA2,ORN_DA2,right,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940609633378,80576197813154715,DA2,ORN_DA2,ORN_DA2,right,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940612972328,80857397911929453,DA2,ORN_DA2,ORN_DA2,right,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940613671330,80998478997786613,DA2,ORN_DA2,ORN_DA2,right,afferent,sensory,olfactory,,FBbt_00067063,sensory
720575940615427734,80787029167764453,DA2,ORN_DA2,ORN_DA2,right,afferent,sensory,olfactory,,FBbt_00067063,sensory
