file,description,status
benton_2025_drosophila_olfactory_system.pdf,Review resource for the Drosophila olfactory system,local-only ignored by git
44319_2025_476_MOESM2_ESM.xlsx,Dataset EV1 maxillary palp and antennal neuron cell types and circuitry,source data
