file,url,status
Task-Potter-eLife-Drosophila-Antennal-Lobe-Map-2022.pdf,https://potterlab.johnshopkins.edu/flyAL/Task-Potter-eLife-Drosophila-Antennal-Lobe-Map-2022.pdf,downloaded-manually
Task-Potter-eLife-Drosophila-Antennal-Lobe-Map-2022.ai.ps,https://potterlab.johnshopkins.edu/flyAL/Task-Potter-eLife-Drosophila-Antennal-Lobe-Map-2022.ai,downloaded-manually
Task-Potter-eLife-Drosophila-Antennal-Lobe-Map-2022.eps,https://potterlab.johnshopkins.edu/flyAL/Task-Potter-eLife-Drosophila-Antennal-Lobe-Map-2022.eps,downloaded-manually
Task-Potter-Fly-AL-Summary-Table.docx,https://potterlab.johnshopkins.edu/flyAL/Task-Potter-Fly-AL-Summary-Table.docx,downloaded-manually
