source_name,canonical_glomerulus,status,source_datasets
VM5v,VM5v,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
VM6,VM6,direct,grabe_2015; hemibrain; flywire; benton_2025; bates_schlegel_2020
VM6l*(new),VM6l*(new),direct,potter_task_2022
VM6m (new),VM6m (new),direct,potter_task_2022
VM6v (VM6),VM6v (VM6),direct,potter_task_2022
VM7d,VM7d,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
VM7v,VM7v,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; benton_2025; bates_schlegel_2020
VM7v (1),VM7v,alias,potter_task_2022
VP1,VP1,direct,grabe_2015; door_map; door_mappings
VP1d,VP1d,direct,hemibrain; flywire; potter_task_2022; benton_2025; bates_schlegel_2020
VP1l,VP1l,direct,hemibrain; flywire; potter_task_2022; benton_2025; bates_schlegel_2020
VP1m,VP1m,direct,hemibrain; flywire; potter_task_2022; benton_2025; bates_schlegel_2020
VP2,VP2,direct,grabe_2015; hemibrain; flywire; potter_task_2022; benton_2025; bates_schlegel_2020
VP3,VP3,direct,grabe_2015; hemibrain; flywire; potter_task_2022; benton_2025; bates_schlegel_2020
VP4,VP4,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
VP5,VP5,direct,hemibrain; flywire; potter_task_2022; benton_2025; bates_schlegel_2020
