canonical_glomerulus,receptor_consensus,receptor_benton_2025,receptor_potter_task_2022,receptor_odour_scenes,receptor_door,sensillum_consensus,sensory_organ_consensus,sensillum_benton_2025,sensory_organ_benton_2025,sensillum_potter_task_2022,sensillum_odour_scenes,sensillum_door,sensory_organ_door,neuron_name_benton_2025,essential_coreceptor_benton_2025,co_receptor_door,orco_gal4_grabe_2015,orco_t2a_qf2,ir8a_t2a_qf2,ir76b_t2a_qf2,ir25a_t2a_qf2,key_agonists_benton_2025,sensory_scene_benton_2025,key_ligand,odour_scene,valence,fbbt_id,vfb_name,vfb_synonyms,projection_neuron_lines,projection_neuron_line_source,gh146_gal4,gh146_pn_female,gh146_pn_male,chat_gal4,chat_soma_count,chat_adpn,chat_lpn,chat_vpn,sensory_neuron_lines,present_grabe_2015,present_hemibrain,present_flywire,present_door_map,present_door_mappings,present_potter_task_2022,present_benton_2025,present_bates_schlegel_2020
D,"Or69aA, Or69aB; Or69aA/B; Or69a",Or69aA/B,"Or69aA, Or69aB",Or69aA/B,Or69a,Ab9A; ab9,antenna,ab9,antenna,Ab9A,ab9A,ab9,antenna,ab9A,Orco,Orco,positive,Yes,Variable,No,No,"Z4-undecenal, carvone, terpenoid alcohols (e.g. linalool), esters",pheromonal/plant_matter,linalool,dangerous,aversive,FBbt_00003960,antennal lobe glomerulus D,"""antennal glomerulus D"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,4 (0.7),4 (1),positive,4,4 (0.8),,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DA1,Or67d,Or67d,Or67d,Or67d,Or67d,At1A; at1,antenna,at1,antenna,At1A,at1,at1,antenna,at1A,Orco,Orco,positive,Yes,No,Variable,Yes,11-cis-vaccenyl acetate,courtship_pheromone,cis-vaccenyl acetate,pheromones,mating/aggression,FBbt_00003932,antennal lobe glomerulus DA1,"""antennal glomerulus DA1"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,8 (1.9),10 (1),positive,9,,8 (1.8),1 (0),Orco-GAL4; Orco-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DA2,"Or56a, Or33a; Or56a; Or33a+56a",Or56a/(Or33a),"Or56a, Or33a",Or56a,Or33a+56a,Ab4B; ab4,antenna,ab4,antenna,Ab4B,ab4,ab4,antenna,ab4B,Orco,Orco,positive,Yes,No,No,Yes,geosmin,dangerous (pathogenic microbes),geosmin,dangerous,aversive,FBbt_00003933,antennal lobe glomerulus DA2,"""antennal glomerulus DA2"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,6.5 (1),5 (1.3),positive,5.5,0.5 (1),5 (1.3),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DA3,Or23a,Or23a,Or23a,Or23a,Or23a,Ai2B (At2B); ai2A; at2,antenna,ai2,antenna,Ai2B (At2B),ai2A,at2,antenna,ai2B,Orco,Orco,positive,Yes,No,No,Yes,unknown,unknown,1-pentanol,fruity,appetitive,FBbt_00003934,antennal lobe glomerulus DA3,"""antennal glomerulus DA3"" EXACT []",,,negative,,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DA4l,Or43a,Or43a,Or43a,Or43a,Or43a,Ai3C (At3C); ai2C; at3,antenna,ai3,antenna,Ai3C (At3C),ai2C,at3,antenna,ai3C,Orco,Orco,positive,Yes,No,No,Yes,"indoles (e.g. 1-methylindole, 3-methylindole), alcohols (e.g. 1-hexanol, cyclohexanol)",dangerous,1-hexanol,dangerous,unclear,FBbt_00007360,antennal lobe glomerulus DA4l,"""antennal lobe glomerulus DA4 lateral compartment"" EXACT [] | ""DA4l"" EXACT [FlyBase:FBrf0187305]",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0),1 (1.2),positive,1,1 (0.8),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DA4m,Or2a,Or2a,Or2a,Or2a,Or2a,Ai3B (At3B); ai3A; at3,antenna,ai3,antenna,Ai3B (At3B),ai3A,at3,antenna,ai3B,Orco,Orco,positive,Yes,No,No,Yes,unknown,unknown,unknown,unknown,aversive,FBbt_00007361,antennal lobe glomerulus DA4m,"""antennal lobe glomerulus DA4 medial compartment"" EXACT [] | ""DA4m"" EXACT [FlyBase:FBrf0187305]",,,negative,,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DC1,"Or19a, Or19b; Or19a; Or19a+b",Or19a/(Or19b),"Or19a, Or19b",Or19a,Or19a+b,Ai3A (At3A); ai3B; at3,antenna,ai3,antenna,Ai3A (At3A),ai3B,at3,antenna,ai3A,Orco,Orco,positive,Yes,No,No,Yes,"terpenes (e.g. valencene, limonene)",fruity/dangerous,valencene; 2-nonanone,fruity; dangerous,unclear,FBbt_00003961,antennal lobe glomerulus DC1,"""antennal glomerulus DC1"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.5),1 (0),positive,1,1 (0.4),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DC2,Or13a,Or13a,Or13a,Or13a,Or13a,Ai1A (Ab6A); ab6,antenna,ab6,antenna,Ai1A (Ab6A),ab6,ab6,antenna,ab6A,Orco,Orco,positive,Yes,No,No,Yes,alcohols (e.g. 1-octen-3-ol),plant_matter,6-methyl-5-hepten-2-ol,plant_matter,aversive,FBbt_00003962,antennal lobe glomerulus DC2,"""antennal glomerulus DC2"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0.9),2 (0),positive,2,2 (0.7),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DC3,Or83c,Or83c,Or83c,Or83c,Or83c,Ai2A (At2A); ai2A; at2,antenna,ai2,antenna,Ai2A (At2A),ai2A,at2,antenna,ai2A,Orco,Orco,positive,Yes,No,Yes,Variable,farnesol,pheromones,farnesol,pheromones,unclear,FBbt_00003963,antennal lobe glomerulus DC3,"""antennal glomerulus DC3"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,4 (0.45),2 (0.6),positive,3.5,3.5 (0.9),,,Orco-GAL4; Orco-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DC4,Ir64a,Ir64a,Ir64a,Ir64a,Ir64a,"Sacculus, Chamber III; sacIII",antenna,sacIII-v,antenna,"Sacculus, Chamber III",sacIII,sacIII,antenna,,Ir8a,Ir8a,negative,Variable,Yes,No,Yes,organic and inorganic acids,decaying_fruit / avoidance,protons,dangerous,aversive,FBbt_00100531,antennal lobe glomerulus DC4,"""antennal glomerulus 1"" RELATED [FlyBase:FBrf0219809] | ""antennal glomerulus DC4"" EXACT []",,,negative,,,,,,,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
